,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
223,223,-0.2568515813180823,-0.3,1,388.0,678.0,1.0,1054.0,1,0.0,0.0
224,224,0.6873950896698111,0.7,0,402.0,815.0,0.0,313.0,1,0.0,0.0
225,225,-0.8990453723788341,-0.9,1,378.0,884.0,1.0,288.0,1,0.0,0.0
226,226,0.06669270567061769,0.1,0,426.0,536.0,1.0,2708.0,0,0.0,0.0
227,227,0.3014709361124839,0.3,0,390.0,560.0,0.0,540.0,1,0.0,0.0
228,228,0.5809184134498435,0.6,0,361.0,606.0,0.0,553.0,1,0.0,0.0
229,229,0.11617798397900314,0.1,0,433.0,888.0,1.0,879.0,0,0.0,0.0
230,230,0.3711099493535437,0.4,0,310.0,531.0,0.0,299.0,1,0.0,0.0
231,231,-0.6743909356731534,-0.7,1,438.0,764.0,1.0,378.0,1,0.0,0.0
232,232,-0.07740033690370107,-0.1,1,283.0,989.0,1.0,1678.0,1,0.0,0.0
233,233,0.5762499208264751,0.6,0,385.0,525.0,0.0,670.0,1,0.0,0.0
234,234,-0.36142446561576747,-0.4,1,295.0,811.0,1.0,274.0,1,0.0,0.0
235,235,0.5201965404094171,0.5,0,400.0,959.0,0.0,571.0,1,0.0,0.0
236,236,-0.043745762505331465,-0.0,1,280.0,814.0,1.0,1936.0,1,0.0,0.0
237,237,-0.6063670893892803,-0.6,1,290.0,508.0,1.0,182.0,1,0.0,0.0
238,238,0.8551823271614079,0.9,0,331.0,715.0,0.0,474.0,1,0.0,0.0
239,239,0.6951156329350876,0.7,0,333.0,847.0,0.0,330.0,1,0.0,0.0
240,240,-0.09453423443865194,-0.1,1,416.0,771.0,1.0,733.0,1,0.0,0.0
241,241,-0.8714674529656317,-0.9,1,259.0,850.0,1.0,311.0,1,0.0,0.0
242,242,0.05000563436368499,0.1,0,262.0,957.0,1.0,771.0,0,0.0,0.0
243,243,0.6468356584630397,0.6,0,313.0,741.0,0.0,546.0,1,0.0,0.0
244,244,0.1910411352379504,0.2,0,482.0,852.0,0.0,546.0,1,0.0,0.0
245,245,0.364195671590678,0.4,0,347.0,713.0,0.0,570.0,1,0.0,0.0
246,246,0.982817179015532,1.0,0,401.0,803.0,0.0,266.0,1,0.0,0.0
247,247,-0.2311261745044917,-0.2,1,430.0,864.0,1.0,656.0,1,0.0,0.0
248,248,-0.2447429351620125,-0.2,1,412.0,588.0,1.0,390.0,1,0.0,0.0
249,249,-0.8631885216097097,-0.9,1,388.0,877.0,1.0,345.0,1,0.0,0.0
250,250,0.7947659723891063,0.8,0,359.0,778.0,0.0,303.0,1,0.0,0.0
251,251,0.24323066530023052,0.2,0,337.0,845.0,0.0,1338.0,1,0.0,0.0
