,trial,coherence,coherence_bin,correct_side,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4043,4043,-0.14767454735692365,-0.1,0.0,125.0,1.0,5875.0,0,0.0,1.0
4044,4044,-0.4472560742327855,-0.4,0.0,125.0,1.0,5875.0,0,0.0,1.0
4045,4045,0.6808256481573663,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
4046,4046,0.13401856859753425,0.1,0.0,125.0,0.0,5875.0,1,1.0,1.0
4047,4047,0.30255219084577945,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
4048,4048,0.33543479084393824,0.3,0.0,125.0,0.0,5875.0,1,1.0,1.0
4049,4049,-0.870876217527634,-0.9,1.0,125.0,1.0,5875.0,1,1.0,0.0
4050,4050,-0.7633821101421863,-0.8,0.0,125.0,0.0,5875.0,1,0.0,0.0
4051,4051,-0.3210786784936208,-0.3,0.0,125.0,1.0,5875.0,0,0.0,1.0
4052,4052,-0.725585568368192,-0.7,1.0,125.0,1.0,5875.0,1,1.0,0.0
4053,4053,0.8868989159954125,0.9,1.0,125.0,0.0,5875.0,0,0.0,0.0
4054,4054,-0.5153490235091573,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
4055,4055,-0.7452955489900126,-0.7,1.0,125.0,0.0,5875.0,0,1.0,1.0
4056,4056,-0.10626478613374357,-0.1,0.0,125.0,1.0,5875.0,0,0.0,1.0
4057,4057,-0.8293837571641046,-0.8,1.0,125.0,0.0,5875.0,0,1.0,1.0
4058,4058,0.7775241642245277,0.8,1.0,125.0,0.0,5875.0,0,0.0,0.0
4059,4059,0.8588895861569222,0.9,1.0,125.0,1.0,5875.0,1,0.0,1.0
4060,4060,-0.2931056913664054,-0.3,0.0,125.0,0.0,5875.0,1,0.0,0.0
4061,4061,-0.2401545240985451,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
4062,4062,0.3434502936595222,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
4063,4063,0.024184188806460005,0.0,0.0,125.0,0.0,5875.0,1,1.0,1.0
4064,4064,0.3868970330268403,0.4,1.0,125.0,1.0,5875.0,1,0.0,1.0
4065,4065,-0.44701626531055355,-0.4,1.0,125.0,1.0,5875.0,1,1.0,0.0
4066,4066,-0.2589654216670997,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4067,4067,0.8396565117163594,0.8,1.0,125.0,1.0,5875.0,1,0.0,1.0
4068,4068,-0.8599572938960256,-0.9,0.0,125.0,1.0,5875.0,0,0.0,1.0
4069,4069,0.26237511549350334,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
4070,4070,-0.42609360618864955,-0.4,1.0,125.0,1.0,5875.0,1,1.0,0.0
4071,4071,0.888563110606332,0.9,1.0,125.0,0.0,5875.0,0,0.0,0.0
4072,4072,0.31039169641198694,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
4073,4073,-0.8659747391284248,-0.9,0.0,125.0,1.0,5875.0,0,0.0,1.0
4074,4074,0.6789346159958579,0.7,0.0,125.0,1.0,5875.0,0,1.0,0.0
4075,4075,0.6549927121808855,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
4076,4076,-0.5305585174351461,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
4077,4077,-0.20754626685890099,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
4078,4078,0.0767508962563146,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
4079,4079,0.4609616585656041,0.5,0.0,125.0,0.0,5875.0,1,1.0,1.0
4080,4080,0.45210674613201596,0.5,0.0,125.0,0.0,5875.0,1,1.0,1.0
4081,4081,-0.2886897540125116,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4082,4082,0.3190034165673069,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
4083,4083,0.39884234918396777,0.4,1.0,125.0,1.0,5875.0,1,0.0,1.0
4084,4084,0.14566078079126676,0.1,0.0,125.0,1.0,5875.0,0,1.0,0.0
4085,4085,0.715936860973959,0.7,0.0,125.0,0.0,5875.0,1,1.0,1.0
4086,4086,-0.2793568608494149,-0.3,1.0,125.0,1.0,5875.0,1,1.0,0.0
4087,4087,-0.8360240834634017,-0.8,0.0,125.0,1.0,5875.0,0,0.0,1.0
4088,4088,-0.7120215047857048,-0.7,1.0,125.0,0.0,5875.0,0,1.0,1.0
4089,4089,0.6947494167907103,0.7,0.0,125.0,1.0,5875.0,0,1.0,0.0
4090,4090,0.5595427248074855,0.6,0.0,125.0,0.0,5875.0,1,1.0,1.0
4091,4091,-0.8352811582416485,-0.8,0.0,125.0,1.0,5875.0,0,0.0,1.0
4092,4092,-0.6894377253347539,-0.7,0.0,125.0,1.0,5875.0,0,0.0,1.0
4093,4093,0.3723710108264334,0.4,1.0,125.0,1.0,5875.0,1,0.0,1.0
4094,4094,0.06552115900320454,0.1,1.0,125.0,0.0,5875.0,0,0.0,0.0
