,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
3412,3412,-0.32553532175091093,-0.3,1,318.0,642.0,1.0,230.0,1,0.8826765526610343,0.0
3413,3413,0.35192318296007596,0.4,0,324.0,837.0,0.0,279.0,1,0.5065827287043015,0.0
3414,3414,0.5036361550565673,0.5,0,273.0,785.0,0.0,142.0,1,0.7046467543912147,0.0
3415,3415,0.6710616286896953,0.7,0,385.0,792.0,0.0,283.0,1,0.8940912268684397,0.0
3416,3416,0.04606651036268761,0.0,0,254.0,703.0,0.0,2663.0,1,0.011427663360606855,0.0
3417,3417,-0.5656674116621783,-0.6,1,300.0,621.0,1.0,289.0,1,0.8497372344544151,0.0
3418,3418,0.3716069312503474,0.4,0,455.0,713.0,0.0,152.0,1,0.9485745636869545,0.0
3419,3419,-0.006408413140361668,-0.0,1,287.0,585.0,1.0,238.0,1,0.3144075427376384,0.0
3420,3420,0.3339378083416462,0.3,0,295.0,944.0,0.0,311.0,1,0.7870523597630923,0.0
3421,3421,-0.28209905389106593,-0.3,1,474.0,556.0,1.0,440.0,1,0.3058594966890944,0.0
3422,3422,0.3459012050932715,0.3,0,339.0,986.0,0.0,275.0,1,0.3857059098888096,0.0
3423,3423,0.23026554544502842,0.2,0,336.0,845.0,0.0,249.0,1,0.8522692855991731,0.0
3424,3424,0.10170243971691417,0.1,0,427.0,530.0,0.0,623.0,1,0.6458329323177313,0.0
3425,3425,0.39382525409476643,0.4,0,465.0,865.0,0.0,450.0,1,0.07341504076138194,0.0
3426,3426,0.7787474432161532,0.8,0,263.0,938.0,0.0,239.0,1,0.6930629223914896,0.0
3427,3427,0.2299485616963146,0.2,0,357.0,781.0,0.0,252.0,1,0.29602067573905155,0.0
3428,3428,0.9512875400086964,1.0,0,294.0,976.0,0.0,170.0,1,0.33232002727829046,0.0
3429,3429,0.45023083460355795,0.5,0,305.0,526.0,0.0,189.0,1,0.539290758407477,0.0
3430,3430,-0.44403115031714036,-0.4,1,463.0,968.0,1.0,229.0,1,0.9434153760423863,0.0
3431,3431,0.17623685980900294,0.2,0,346.0,717.0,0.0,427.0,1,0.18473790717245453,0.0
3432,3432,0.44273667000837014,0.4,0,299.0,942.0,0.0,429.0,1,0.2558142011725233,0.0
3433,3433,-0.6642207438053727,-0.7,1,271.0,905.0,1.0,304.0,1,0.14247482413210744,0.0
3434,3434,-0.7579815909190897,-0.8,1,258.0,915.0,1.0,207.0,1,0.5442456921438411,0.0
3435,3435,-0.24811311210074094,-0.2,1,305.0,979.0,1.0,306.0,1,0.7738180863494651,0.0
3436,3436,-0.3905409290199442,-0.4,1,287.0,657.0,1.0,706.0,1,0.024896455014327357,0.0
3437,3437,-0.22734975553913572,-0.2,1,301.0,778.0,1.0,181.0,1,0.4549195724030872,0.0
3438,3438,0.5217526074376226,0.5,0,382.0,698.0,0.0,150.0,1,0.9730325825192182,0.0
3439,3439,0.7785977468532719,0.8,0,251.0,765.0,0.0,214.0,1,0.09447554873536201,0.0
3440,3440,0.7155704735860526,0.7,0,293.0,555.0,0.0,192.0,1,0.6607561094254447,0.0
3441,3441,-0.3225214314450475,-0.3,1,391.0,840.0,1.0,379.0,1,0.3014514920083843,0.0
3442,3442,0.7218979312722307,0.7,0,393.0,962.0,0.0,225.0,1,0.6744280417698996,0.0
3443,3443,0.7362859371382984,0.7,0,283.0,747.0,0.0,340.0,1,0.055983903059181994,0.0
3444,3444,-0.06825585636383402,-0.1,1,403.0,634.0,1.0,1093.0,1,0.45177301331754416,0.0
3445,3445,-0.7494801713907475,-0.7,1,269.0,651.0,1.0,230.0,1,0.4056101383202442,0.0
3446,3446,-0.9371165383917159,-0.9,1,399.0,993.0,1.0,248.0,1,0.49426914486633655,0.0
3447,3447,0.48248479567907365,0.5,0,306.0,566.0,0.0,188.0,1,0.9902855081357909,0.0
3448,3448,0.23798031310544587,0.2,0,478.0,717.0,1.0,275.0,0,0.7944562703082941,0.0
3449,3449,0.6878647138060459,0.7,0,326.0,755.0,0.0,159.0,1,0.9583077297328175,0.0
3450,3450,0.982165170460563,1.0,0,394.0,653.0,0.0,163.0,1,0.38854468027626377,0.0
3451,3451,-0.7128941946501226,-0.7,1,463.0,524.0,1.0,183.0,1,0.5426255407882344,0.0
3452,3452,-0.8338524135127612,-0.8,1,405.0,675.0,1.0,190.0,1,0.6660964528205847,0.0
3453,3453,-0.36094718613679455,-0.4,1,338.0,877.0,1.0,255.0,1,0.6163003156009561,0.0
3454,3454,-0.28041741385999797,-0.3,1,372.0,689.0,1.0,299.0,1,0.4970467321937736,0.0
3455,3455,-0.6987257130952667,-0.7,1,368.0,878.0,1.0,604.0,1,0.1685522302495377,0.0
3456,3456,-0.6700739148286148,-0.7,1,366.0,935.0,1.0,339.0,1,0.9487342765435671,0.0
3457,3457,0.11029202430276208,0.1,0,465.0,786.0,0.0,479.0,1,0.7330249259233967,0.0
3458,3458,0.5532256598273306,0.6,0,440.0,976.0,0.0,304.0,1,0.3149013146255363,0.0
3459,3459,-0.8744440535764471,-0.9,1,286.0,868.0,1.0,326.0,1,0.6322584077070598,0.0
3460,3460,0.11348629769514251,0.1,0,297.0,916.0,1.0,317.0,0,0.6508729943784543,0.0
3461,3461,0.5659448120045203,0.6,0,291.0,957.0,0.0,252.0,1,0.7743885331326108,0.0
3462,3462,0.2661168143080912,0.3,0,484.0,989.0,0.0,247.0,1,0.9534744817001545,0.0
3463,3463,0.08928384334176132,0.1,0,284.0,591.0,0.0,695.0,1,0.8316881964266578,0.0
3464,3464,-0.9981492651250927,-1.0,1,330.0,706.0,1.0,344.0,1,0.46482990349491016,0.0
3465,3465,0.25684898388339716,0.3,0,401.0,800.0,0.0,609.0,1,0.03162517808580234,0.0
3466,3466,0.40737172570089974,0.4,0,349.0,548.0,0.0,283.0,1,0.9576916844733367,0.0
3467,3467,0.05657260240930784,0.1,0,385.0,828.0,1.0,767.0,0,0.10139392277949189,0.0
3468,3468,-0.9007359252070397,-0.9,1,487.0,721.0,1.0,182.0,1,0.8624898452472467,0.0
3469,3469,-0.16760556398618154,-0.2,1,398.0,801.0,1.0,361.0,1,0.9873196598170244,0.0
3470,3470,0.9096711176244636,0.9,0,305.0,990.0,0.0,155.0,1,0.943106020390814,0.0
3471,3471,0.940288482322214,0.9,0,302.0,907.0,0.0,251.0,1,0.6114542457382266,0.0
3472,3472,-0.8560496371739339,-0.9,1,274.0,600.0,1.0,276.0,1,0.005333348557836515,0.0
3473,3473,-0.48515902195955274,-0.5,1,415.0,997.0,1.0,328.0,1,0.26087186067018997,0.0
3474,3474,0.18322205011334036,0.2,0,495.0,571.0,0.0,584.0,1,0.09320270624506233,0.0
3475,3475,0.01067167319075879,0.0,0,308.0,909.0,1.0,523.0,0,0.7292692224442181,0.0
3476,3476,-0.4687705809042686,-0.5,1,312.0,512.0,1.0,276.0,1,0.4313766011568514,0.0
3477,3477,0.5308270314124257,0.5,0,349.0,757.0,0.0,134.0,1,0.8695250443486257,0.0
3478,3478,-0.856830154000159,-0.9,1,379.0,859.0,1.0,282.0,1,0.2183887142648171,0.0
3479,3479,0.09235820876505185,0.1,0,422.0,573.0,0.0,495.0,1,0.25226182590052126,0.0
3480,3480,0.2650629533700346,0.3,0,421.0,525.0,0.0,254.0,1,0.5563148860530763,0.0
3481,3481,0.48855316449506425,0.5,0,338.0,708.0,0.0,304.0,1,0.9379714478972854,0.0
3482,3482,0.8213281456674109,0.8,0,354.0,931.0,0.0,335.0,1,0.05161910165779526,0.0
3483,3483,0.6405032546573046,0.6,0,266.0,722.0,0.0,232.0,1,0.5224215973706203,0.0
3484,3484,0.3255210190157434,0.3,0,419.0,628.0,0.0,513.0,1,0.040276789365722654,0.0
3485,3485,-0.005127033358649502,-0.0,1,402.0,667.0,0.0,551.0,0,0.8911167194359509,0.0
3486,3486,-0.34052793146765725,-0.3,1,468.0,835.0,1.0,527.0,1,0.03744302845262493,0.0
3487,3487,-0.08825018489455094,-0.1,1,453.0,887.0,1.0,420.0,1,0.4756892713781433,0.0
3488,3488,-0.5264089844937081,-0.5,1,297.0,972.0,1.0,401.0,1,0.17668371029616892,0.0
3489,3489,-0.212390153004127,-0.2,1,486.0,786.0,1.0,278.0,1,0.7398803964952805,0.0
3490,3490,0.8385561621586439,0.8,0,427.0,598.0,0.0,305.0,1,0.4902955414539323,0.0
3491,3491,0.8223471187477807,0.8,0,267.0,988.0,0.0,165.0,1,0.6742894793991552,0.0
3492,3492,0.3466924817707542,0.3,0,406.0,927.0,0.0,487.0,1,0.024002343410379767,0.0
3493,3493,-0.5924580403198179,-0.6,1,400.0,862.0,1.0,168.0,1,0.9241475496048739,0.0
3494,3494,-0.6137566901768705,-0.6,1,396.0,924.0,1.0,240.0,1,0.5330621304668322,0.0
3495,3495,-0.7180436254256048,-0.7,1,368.0,963.0,1.0,349.0,1,0.7479712743912624,0.0
3496,3496,0.009051897255967889,0.0,0,426.0,833.0,1.0,971.0,0,0.8046303306383567,0.0
3497,3497,0.8607230876800909,0.9,0,462.0,876.0,0.0,182.0,1,0.6983706834904355,0.0
3498,3498,0.9256641821389977,0.9,0,460.0,970.0,0.0,220.0,1,0.11360668505717786,0.0
3499,3499,0.9738447264620453,1.0,0,354.0,765.0,0.0,251.0,1,0.43813584267448324,0.0
3500,3500,0.9281901655926397,0.9,0,488.0,855.0,0.0,167.0,1,0.8265140425764425,0.0
