,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
4592,4592,0.9949743009216656,1.0,0,285.0,544.0,1.0,131.0,0,0.356694332328505
4593,4593,-0.3560833026268675,-0.4,1,353.0,637.0,0.0,460.0,0,0.759166543560558
4594,4594,-0.016767590646320718,-0.0,1,471.0,901.0,0.0,3628.0,0,0.15071478404578553
4595,4595,-0.9853783998565142,-1.0,1,304.0,671.0,0.0,105.0,0,0.9478845245025636
4596,4596,0.08277130569877467,0.1,1,287.0,598.0,1.0,975.0,1,0.6739387192588485
4597,4597,0.8559339186703177,0.9,0,351.0,539.0,1.0,160.0,0,0.6074905763317587
4598,4598,-0.9387678800713666,-0.9,1,478.0,990.0,0.0,162.0,0,0.6692960241395781
4599,4599,-0.11362940128380083,-0.1,1,316.0,592.0,0.0,4092.0,0,0.29745511483883
4600,4600,0.8502613393645759,0.9,0,375.0,949.0,1.0,296.0,0,0.27745831402734067
4601,4601,-0.7675902002200172,-0.8,1,406.0,997.0,0.0,297.0,0,0.6697417373715954
4602,4602,0.867339847747626,0.9,0,263.0,608.0,1.0,169.0,0,0.9734164145659663
4603,4603,0.6771905216075349,0.7,0,499.0,698.0,1.0,333.0,0,0.4588205401747274
4604,4604,0.06560344476864466,0.1,1,270.0,527.0,1.0,4203.0,1,0.16081787814706416
4605,4605,0.9649096311651224,1.0,0,263.0,802.0,1.0,235.0,0,0.3723351717555411
4606,4606,0.8644542915647244,0.9,0,361.0,906.0,1.0,223.0,0,0.5072109420643941
4607,4607,-0.22564664316903782,-0.2,1,400.0,958.0,0.0,1422.0,0,0.3370614905741889
4608,4608,0.9733053396971563,1.0,0,325.0,921.0,1.0,254.0,0,0.7798547995696036
4609,4609,0.9973283724679072,1.0,0,376.0,958.0,1.0,456.0,0,0.19500866002904826
4610,4610,0.751636926948855,0.8,0,423.0,507.0,1.0,730.0,0,0.04131470398997794
4611,4611,0.8393940874770083,0.8,0,313.0,511.0,1.0,246.0,0,0.024563475449301708
4612,4612,-0.13748901226352772,-0.1,1,263.0,866.0,0.0,3051.0,0,0.44272965158920397
4613,4613,0.31986468262704726,0.3,1,319.0,854.0,1.0,477.0,1,0.24819318660576972
4614,4614,0.008266041776560096,0.0,1,403.0,570.0,0.0,4027.0,0,0.18272919772807372
4615,4615,-0.6236524718627785,-0.6,1,380.0,860.0,0.0,170.0,0,0.45684869003421047
4616,4616,0.08141805022561344,0.1,1,465.0,635.0,1.0,3900.0,1,0.11527096115859814
4617,4617,0.2877125425230307,0.3,1,298.0,662.0,1.0,600.0,1,0.7566677365841266
4618,4618,-0.32965783818101757,-0.3,1,322.0,597.0,0.0,491.0,0,0.8640535960771699
4619,4619,-0.7335132943808573,-0.7,1,298.0,836.0,0.0,86.0,0,0.9388909148861972
4620,4620,-0.5379282625551913,-0.5,1,348.0,649.0,0.0,273.0,0,0.9098988704732607
4621,4621,-0.7034037327654901,-0.7,1,476.0,664.0,0.0,250.0,0,0.06591434367017135
4622,4622,0.3571097365211662,0.4,1,361.0,563.0,1.0,586.0,1,0.691710218581919
4623,4623,0.6516074706794523,0.7,0,495.0,852.0,1.0,373.0,0,0.2062693309426401
4624,4624,0.4235794807772155,0.4,1,269.0,519.0,1.0,532.0,1,0.061233199268343474
4625,4625,-0.40915885809357966,-0.4,1,338.0,601.0,0.0,391.0,0,0.7075261169676836
4626,4626,-0.6143778837467553,-0.6,1,268.0,960.0,0.0,212.0,0,0.899331627607894
4627,4627,-0.17787434512951883,-0.2,1,412.0,721.0,0.0,677.0,0,0.7440916185359365
