,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
744,744,0.7035296000259803,0.7,0,439.0,744.0,0.0,277.0,1,88.94111999220591
745,745,-0.9780104968937653,-1.0,1,300.0,548.0,1.0,252.0,1,6.596850931870413
746,746,0.6321081699092743,0.6,0,454.0,651.0,0.0,365.0,1,110.3675490272177
747,747,-0.1395474590833543,-0.1,1,346.0,570.0,1.0,934.0,1,258.1357622749937
748,748,-0.48710398194644555,-0.5,1,438.0,962.0,1.0,390.0,1,153.86880541606632
749,749,-0.9902813506010528,-1.0,1,431.0,576.0,1.0,223.0,1,2.915594819684153
750,750,-0.11419915262828528,-0.1,1,375.0,791.0,1.0,544.0,1,265.7402542115144
751,751,-0.6799604526733709,-0.7,1,304.0,981.0,1.0,305.0,1,96.01186419798873
752,752,-0.7398930256239777,-0.7,1,429.0,941.0,1.0,310.0,1,78.03209231280668
753,753,0.029584935108996513,0.0,0,345.0,646.0,0.0,589.0,1,291.12451946730107
754,754,0.3567262412172878,0.4,0,432.0,708.0,0.0,740.0,1,192.98212763481365
755,755,-0.8511616189437476,-0.9,1,370.0,618.0,1.0,232.0,1,44.651514316875705
756,756,0.2477139082713269,0.2,0,439.0,515.0,0.0,506.0,1,225.68582751860194
757,757,-0.9984077101275282,-1.0,1,289.0,679.0,1.0,112.0,1,0.47768696174155245
758,758,-0.6483700971519626,-0.6,1,349.0,852.0,1.0,579.0,1,105.48897085441122
759,759,-0.3205778852009473,-0.3,1,304.0,764.0,1.0,422.0,1,203.8266344397158
760,760,0.5162673569335035,0.5,0,429.0,919.0,0.0,432.0,1,145.11979291994896
761,761,0.9467106927816833,0.9,0,476.0,838.0,0.0,206.0,1,15.986792165495011
762,762,0.8254108075937645,0.8,0,341.0,981.0,0.0,288.0,1,52.376757721870646
763,763,-0.5654149243549713,-0.6,1,400.0,803.0,1.0,387.0,1,130.3755226935086
764,764,0.2611557589006157,0.3,0,355.0,957.0,0.0,538.0,1,221.65327232981528
765,765,-0.4895541429576151,-0.5,1,273.0,948.0,1.0,399.0,1,153.13375711271547
766,766,0.5661370182165624,0.6,0,293.0,998.0,0.0,489.0,1,130.1588945350313
767,767,0.5388865574647863,0.5,0,422.0,877.0,0.0,411.0,1,138.3340327605641
768,768,-0.21813599233629866,-0.2,1,429.0,871.0,1.0,580.0,1,234.5592022991104
769,769,0.5321904979940482,0.5,0,367.0,657.0,0.0,476.0,1,140.34285060178556
770,770,-0.031175859136406636,-0.0,1,440.0,923.0,0.0,607.0,0,290.647242259078
771,771,-0.2816142709534548,-0.3,1,262.0,729.0,1.0,879.0,1,215.51571871396357
772,772,0.024127099346825,0.0,0,284.0,503.0,1.0,723.0,0,292.7618701959525
773,773,-0.7943910036885709,-0.8,1,499.0,748.0,1.0,243.0,1,61.68269889342874
774,774,0.17574121134573573,0.2,0,481.0,658.0,0.0,1271.0,1,247.27763659627928
775,775,0.7464965440773099,0.7,0,496.0,906.0,0.0,248.0,1,76.05103677680702
776,776,0.9291904147099146,0.9,0,312.0,782.0,0.0,176.0,1,21.242875587025623
777,777,0.1559280428969041,0.2,0,447.0,503.0,0.0,1570.0,1,253.22158713092878
778,778,0.2137799248454073,0.2,0,392.0,951.0,0.0,587.0,1,235.86602254637782
779,779,-0.3945752227080641,-0.4,1,481.0,959.0,1.0,510.0,1,181.62743318758078
780,780,0.4745385984577919,0.5,0,484.0,774.0,0.0,422.0,1,157.63842046266242
781,781,0.11185508921318377,0.1,0,257.0,858.0,0.0,605.0,1,266.4434732360449
782,782,-0.8983735438528977,-0.9,1,314.0,935.0,1.0,321.0,1,30.487936844130694
783,783,0.0935053215390429,0.1,0,345.0,897.0,0.0,1538.0,1,271.94840353828715
784,784,0.3586109292867399,0.4,0,401.0,721.0,0.0,318.0,1,192.41672121397804
785,785,0.6808952432970043,0.7,0,251.0,896.0,0.0,393.0,1,95.7314270108987
786,786,0.33915337149239577,0.3,0,337.0,757.0,0.0,576.0,1,198.25398855228127
787,787,0.7984684521605501,0.8,0,426.0,793.0,0.0,261.0,1,60.45946435183498
788,788,-0.945349469221443,-0.9,1,269.0,809.0,1.0,212.0,1,16.395159233567092
789,789,-0.6941515499958315,-0.7,1,497.0,975.0,1.0,348.0,1,91.75453500125055
790,790,-0.32483110797251635,-0.3,1,429.0,577.0,1.0,524.0,1,202.5506676082451
791,791,0.9553415038924198,1.0,0,492.0,747.0,0.0,181.0,1,13.397548832274065
792,792,-0.9345792816438938,-0.9,1,318.0,990.0,1.0,132.0,1,19.626215506831855
793,793,-0.6247414596168923,-0.6,1,319.0,658.0,1.0,323.0,1,112.5775621149323
794,794,-0.46516268053547116,-0.5,1,337.0,864.0,1.0,409.0,1,160.45119583935866
795,795,0.09471277148166446,0.1,0,448.0,636.0,0.0,706.0,1,271.58616855550065
796,796,-0.15536747669412243,-0.2,1,447.0,628.0,0.0,465.0,0,253.38975699176328
797,797,0.48296268541059795,0.5,0,271.0,732.0,0.0,527.0,1,155.1111943768206
798,798,-0.6572998640270957,-0.7,1,318.0,516.0,1.0,246.0,1,102.81004079187129
799,799,-0.2649380268002426,-0.3,1,395.0,727.0,1.0,538.0,1,220.51859195992722
800,800,-0.7634696394380216,-0.8,1,331.0,879.0,1.0,800.0,1,70.95910816859352
801,801,-0.25218455711386123,-0.3,1,385.0,659.0,1.0,916.0,1,224.34463286584162
802,802,0.9940044135136124,1.0,0,337.0,816.0,0.0,267.0,1,1.7986759459162949
803,803,0.802160781244105,0.8,0,376.0,803.0,0.0,281.0,1,59.35176562676852
804,804,0.35648581263332435,0.4,0,351.0,937.0,0.0,642.0,1,193.0542562100027
805,805,-0.3225274414518071,-0.3,1,358.0,661.0,1.0,731.0,1,203.24176756445786
806,806,-0.6886747395630868,-0.7,1,450.0,653.0,1.0,307.0,1,93.39757813107397
807,807,-0.11226009948001225,-0.1,1,265.0,693.0,0.0,1772.0,0,266.3219701559963
808,808,0.48712350503879165,0.5,0,356.0,826.0,0.0,388.0,1,153.86294848836252
809,809,0.003556734106875181,0.0,0,377.0,681.0,1.0,1892.0,0,298.93297976793747
810,810,0.24908072786725866,0.2,0,274.0,580.0,0.0,696.0,1,225.2757816398224
811,811,0.6765517819426154,0.7,0,323.0,808.0,0.0,259.0,1,97.03446541721536
812,812,-0.13807902426742058,-0.1,1,259.0,815.0,1.0,946.0,1,258.57629271977385
813,813,0.09694619451204733,0.1,0,428.0,581.0,0.0,531.0,1,270.9161416463858
814,814,0.9176988993078579,0.9,0,389.0,536.0,0.0,185.0,1,24.690330207642642
815,815,-0.08997068833384936,-0.1,1,270.0,549.0,1.0,591.0,1,273.0087934998452
816,816,0.5904209987207825,0.6,0,286.0,522.0,0.0,412.0,1,122.87370038376525
817,817,-0.590012662123939,-0.6,1,450.0,897.0,1.0,433.0,1,122.9962013628183
818,818,0.39819179855883147,0.4,0,478.0,729.0,0.0,483.0,1,180.54246043235057
819,819,0.4062953659818389,0.4,0,392.0,581.0,0.0,587.0,1,178.11139020544832
820,820,-0.5175364385075829,-0.5,1,280.0,888.0,1.0,442.0,1,144.73906844772512
821,821,-0.43079177059847296,-0.4,1,321.0,958.0,1.0,361.0,1,170.7624688204581
822,822,-0.49008234388113814,-0.5,1,366.0,973.0,1.0,451.0,1,152.97529683565855
823,823,0.44336926923113795,0.4,0,357.0,667.0,0.0,476.0,1,166.98921923065862
824,824,0.8928510687395117,0.9,0,385.0,548.0,0.0,247.0,1,32.14467937814649
825,825,0.22242498252447995,0.2,0,309.0,843.0,0.0,678.0,1,233.27250524265602
826,826,-0.7393948342534757,-0.7,1,378.0,610.0,1.0,312.0,1,78.18154972395727
827,827,0.8837575546209055,0.9,0,432.0,513.0,0.0,175.0,1,34.872733613728336
828,828,-0.15419124613685087,-0.2,1,258.0,878.0,0.0,444.0,0,253.74262615894474
829,829,0.8955838058703463,0.9,0,481.0,756.0,0.0,173.0,1,31.324858238896127
830,830,-0.9509986985994072,-1.0,1,251.0,696.0,1.0,263.0,1,14.700390420177833
831,831,-0.9949120804155318,-1.0,1,359.0,914.0,1.0,127.0,1,1.5263758753404577
832,832,-0.6981613760776042,-0.7,1,364.0,912.0,1.0,254.0,1,90.55158717671874
833,833,-0.377598003492821,-0.4,1,423.0,512.0,1.0,435.0,1,186.7205989521537
834,834,0.23465354241516634,0.2,0,317.0,793.0,0.0,910.0,1,229.6039372754501
835,835,0.9925463226951521,1.0,0,472.0,613.0,0.0,195.0,1,2.236103191454375
836,836,-0.4503517404388222,-0.5,1,253.0,784.0,1.0,343.0,1,164.89447786835333
837,837,-0.5707231613835364,-0.6,1,411.0,956.0,1.0,353.0,1,128.78305158493907
838,838,0.8162373873516071,0.8,0,275.0,536.0,0.0,229.0,1,55.128783794517865
839,839,0.16998797587785885,0.2,0,410.0,688.0,0.0,712.0,1,249.00360723664235
840,840,-0.45679515525480796,-0.5,1,390.0,983.0,1.0,347.0,1,162.9614534235576
