,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
4344,4344,0.3828459682169981,0.4,1.0,418.0,843.0,1.0,289.0,1,0.0,1.0
4345,4345,0.03566774651137916,0.0,0.0,479.0,833.0,1.0,1408.0,0,1.0,0.0
4346,4346,0.36321200876877036,0.4,0.0,251.0,871.0,0.0,158.0,1,1.0,1.0
4347,4347,-0.854402054511719,-0.9,0.0,482.0,907.0,0.0,141.0,1,0.0,0.0
4348,4348,0.8357553284274158,0.8,1.0,484.0,959.0,1.0,137.0,1,0.0,1.0
4349,4349,-0.5520013949153013,-0.6,1.0,316.0,915.0,1.0,239.0,1,1.0,0.0
4350,4350,0.5011160928835613,0.5,0.0,381.0,628.0,0.0,291.0,1,1.0,1.0
4351,4351,-0.8414469014694984,-0.8,1.0,476.0,780.0,1.0,244.0,1,1.0,0.0
4352,4352,0.26264509380989,0.3,0.0,383.0,733.0,1.0,-36.0,0,1.0,0.0
4353,4353,-0.08094351302883895,-0.1,0.0,274.0,527.0,0.0,329.0,1,0.0,0.0
4354,4354,0.3309814579720266,0.3,0.0,252.0,687.0,0.0,481.0,1,1.0,1.0
4355,4355,-0.49684768851989647,-0.5,1.0,315.0,783.0,1.0,292.0,1,1.0,0.0
4356,4356,-0.7264723839678572,-0.7,1.0,408.0,968.0,1.0,394.0,1,1.0,0.0
4357,4357,-0.8817973314287683,-0.9,1.0,317.0,776.0,1.0,157.0,1,1.0,0.0
4358,4358,0.22889175279764584,0.2,0.0,496.0,623.0,0.0,401.0,1,1.0,1.0
4359,4359,0.8625750332551149,0.9,1.0,358.0,929.0,1.0,83.0,1,0.0,1.0
4360,4360,0.07461549110549792,0.1,0.0,383.0,544.0,0.0,713.0,1,1.0,1.0
4361,4361,-0.17201653483282686,-0.2,1.0,405.0,723.0,1.0,1912.0,1,1.0,0.0
4362,4362,-0.028439557466803378,-0.0,0.0,333.0,525.0,1.0,4142.0,0,0.0,1.0
4363,4363,0.11486941311646681,0.1,1.0,497.0,954.0,0.0,-341.0,0,0.0,0.0
4364,4364,-0.557316788850107,-0.6,0.0,476.0,584.0,0.0,430.0,1,0.0,0.0
4365,4365,-0.8225992081969122,-0.8,1.0,433.0,665.0,1.0,282.0,1,1.0,0.0
4366,4366,-0.5736100350549025,-0.6,1.0,255.0,869.0,1.0,366.0,1,1.0,0.0
4367,4367,-0.5584847562243827,-0.6,1.0,401.0,619.0,1.0,220.0,1,1.0,0.0
4368,4368,0.7292360046940954,0.7,1.0,296.0,995.0,1.0,99.0,1,0.0,1.0
4369,4369,-0.2958568152172597,-0.3,1.0,346.0,557.0,1.0,887.0,1,1.0,0.0
4370,4370,0.5498887391476618,0.5,1.0,464.0,541.0,1.0,185.0,1,0.0,1.0
4371,4371,-0.11192268148719187,-0.1,1.0,370.0,741.0,1.0,609.0,1,1.0,0.0
4372,4372,-0.6226777997528288,-0.6,1.0,370.0,771.0,1.0,429.0,1,1.0,0.0
4373,4373,0.5566117712593582,0.6,1.0,410.0,975.0,1.0,275.0,1,0.0,1.0
4374,4374,0.706381543883222,0.7,1.0,459.0,911.0,1.0,140.0,1,0.0,1.0
4375,4375,0.49079206026934463,0.5,0.0,325.0,776.0,0.0,119.0,1,1.0,1.0
4376,4376,-0.5624456288760025,-0.6,0.0,441.0,774.0,0.0,275.0,1,0.0,0.0
