,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,inputBias
137,137,-0.33433950820654124,-0.3,1,472.0,746.0,1.0,282.0,1,0.2846144846261363
138,138,-0.35649891008392465,-0.4,1,319.0,898.0,1.0,103.0,1,0.24325784923966817
139,139,-0.22465377584758084,-0.2,1,393.0,569.0,1.0,148.0,1,0.45617331954728646
140,140,-0.5755053809221906,-0.6,1,465.0,723.0,1.0,72.0,1,0.2716558343424273
141,141,-0.7404754234718218,-0.7,1,439.0,848.0,1.0,-57.0,1,0.40202818020243564
142,142,-0.5083543816527125,-0.5,1,322.0,964.0,1.0,244.0,1,0.4479466016076309
143,143,-0.9099282439705692,-0.9,1,368.0,640.0,1.0,242.0,1,0.3596288123755692
144,144,0.9169471252309978,0.9,0,470.0,602.0,0.0,128.0,1,0.286844434758403
145,145,-0.010189670560360131,-0.0,1,280.0,687.0,1.0,-617.0,1,0.4268131853052886
146,146,0.09186733082913623,0.1,0,314.0,812.0,0.0,-586.0,1,0.46273743041648213
147,147,0.8812459301316955,0.9,0,317.0,772.0,0.0,71.0,1,0.4383045710821394
148,148,0.3899138586225983,0.4,0,470.0,794.0,0.0,256.0,1,0.3420550664052422
149,149,-0.9218830316956088,-0.9,1,258.0,725.0,1.0,167.0,1,0.22887561116204
150,150,-0.37267342847409046,-0.4,1,252.0,547.0,1.0,-139.0,1,0.4484435681705279
151,151,0.31137365377348925,0.3,0,489.0,672.0,0.0,379.0,1,0.3697040124659652
152,152,0.8872190053117646,0.9,0,403.0,692.0,0.0,105.0,1,0.3704436073668328
153,153,0.8558418519535387,0.9,0,289.0,719.0,0.0,132.0,1,0.20139914475965584
154,154,0.4947006376495797,0.5,0,471.0,849.0,1.0,-90.0,0,0.4407604355179393
155,155,0.49524516758071346,0.5,0,386.0,554.0,1.0,-90.0,0,0.3794277771363107
156,156,0.17122939964956596,0.2,0,339.0,896.0,0.0,635.0,1,0.3355980378026232
157,157,0.1657799730905929,0.2,0,459.0,843.0,1.0,-12.0,0,0.3908380751703058
158,158,0.34362286284719046,0.3,0,265.0,852.0,0.0,583.0,1,0.49601719807048966
159,159,-0.04837277750877078,-0.0,1,330.0,514.0,1.0,886.0,1,0.4506024979170175
160,160,0.09113425346391257,0.1,0,415.0,845.0,0.0,330.0,1,0.23675299636197647
161,161,-0.5757514202653604,-0.6,1,352.0,576.0,1.0,82.0,1,0.3981866843035624
162,162,-0.5399804001593496,-0.5,1,263.0,900.0,1.0,127.0,1,0.3469837986216573
163,163,-0.6919778025938053,-0.7,1,270.0,708.0,1.0,232.0,1,0.23545225811134918
164,164,-0.0843150512907489,-0.1,1,283.0,576.0,1.0,341.0,1,0.3016981153329142
165,165,0.32829678563958664,0.3,0,468.0,695.0,0.0,337.0,1,0.20505496309316779
166,166,0.38472915438038613,0.4,0,349.0,503.0,1.0,-272.0,0,0.4929993904129123
167,167,0.5507162642943937,0.6,0,462.0,872.0,0.0,96.0,1,0.43633444769044993
168,168,0.8313781232004824,0.8,0,445.0,574.0,0.0,141.0,1,0.3314555549190198
169,169,0.014538785859468328,0.0,0,345.0,673.0,1.0,312.0,0,0.23686717592263018
170,170,0.7021102422423544,0.7,0,379.0,887.0,0.0,104.0,1,0.22313522528292307
171,171,0.6257238328815369,0.6,0,250.0,948.0,1.0,-148.0,0,0.4462685512195194
172,172,-0.8909076794427122,-0.9,1,386.0,665.0,1.0,269.0,1,0.3683359467387414
173,173,0.9634417917306435,1.0,0,425.0,553.0,0.0,102.0,1,0.409549736015131
174,174,0.8684564223734907,0.9,0,484.0,830.0,1.0,-494.0,0,0.49279970613782065
175,175,-0.7123537725018108,-0.7,1,492.0,723.0,1.0,285.0,1,0.3393844775451147
176,176,-0.5913969444977263,-0.6,1,434.0,775.0,1.0,131.0,1,0.3489236005689752
177,177,0.8928841526525224,0.9,0,440.0,901.0,0.0,89.0,1,0.30107919835398494
178,178,-0.831110479911068,-0.8,1,327.0,909.0,1.0,274.0,1,0.3976439545022822
179,179,-0.942447696831995,-0.9,1,439.0,699.0,1.0,-358.0,1,0.3745246933215958
180,180,0.30970922982589344,0.3,0,459.0,662.0,0.0,69.0,1,0.43121620856042
181,181,0.731711614259186,0.7,0,484.0,872.0,0.0,244.0,1,0.2988106961834251
182,182,-0.059294099938064226,-0.1,1,295.0,942.0,1.0,713.0,1,0.2958185775830638
183,183,0.3564401720703094,0.4,0,461.0,554.0,0.0,365.0,1,0.38998254974922186
184,184,0.003721817648684178,0.0,0,417.0,597.0,0.0,736.0,1,0.3284275203088495
185,185,0.30980825692546876,0.3,0,424.0,876.0,0.0,310.0,1,0.37593367909027464
186,186,-0.24831557337050514,-0.2,1,265.0,556.0,1.0,229.0,1,0.3066599589354815
187,187,0.7922942998544948,0.8,0,472.0,698.0,0.0,410.0,1,0.20604399143863528
188,188,-0.13414287223598387,-0.1,1,431.0,567.0,1.0,42.0,1,0.44653899765941496
189,189,-0.6065617116193271,-0.6,1,260.0,907.0,1.0,133.0,1,0.254627938006892
190,190,-0.5232120907358437,-0.5,1,488.0,744.0,1.0,-552.0,1,0.44747519074237885
191,191,-0.2753378946886087,-0.3,1,476.0,961.0,1.0,-417.0,1,0.34714834635095426
192,192,-0.25846700390654576,-0.3,1,359.0,900.0,1.0,131.0,1,0.2679946001674571
193,193,0.6176268365189848,0.6,0,375.0,616.0,0.0,189.0,1,0.21992208616568149
194,194,-0.42165286521382583,-0.4,1,266.0,519.0,1.0,415.0,1,0.27293904814919867
195,195,0.7926092646793634,0.8,0,284.0,710.0,0.0,146.0,1,0.26606487067905826
196,196,-0.7478535299389546,-0.7,1,343.0,520.0,1.0,197.0,1,0.3378492026634967
197,197,-0.94880769206236,-0.9,1,441.0,801.0,1.0,288.0,1,0.46766190992504986
198,198,-0.7308761463563516,-0.7,1,319.0,728.0,1.0,-17.0,1,0.4562010240805653
199,199,0.18972983598130333,0.2,0,388.0,644.0,1.0,-462.0,0,0.4746610993815526
200,200,0.3890258327543179,0.4,0,318.0,640.0,1.0,112.0,0,0.4760550994964162
201,201,-0.7751918405825886,-0.8,1,290.0,618.0,1.0,192.0,1,0.2937931785499934
202,202,0.05384501490683702,0.1,0,345.0,647.0,1.0,-102.0,0,0.4314913028322526
203,203,0.47448102838205397,0.5,0,442.0,879.0,0.0,579.0,1,0.4263048401374446
204,204,0.732591471130642,0.7,0,464.0,507.0,0.0,149.0,1,0.2222380800533144
205,205,-0.23593853961988853,-0.2,1,370.0,544.0,1.0,356.0,1,0.277019770435988
206,206,0.0011314434926892325,0.0,0,400.0,686.0,1.0,404.0,0,0.20135158242538223
207,207,0.014814395655105228,0.0,0,287.0,969.0,1.0,724.0,0,0.2283209232966949
208,208,0.7530123317246709,0.8,0,470.0,913.0,1.0,-1233.0,0,0.49192563593622074
209,209,-0.6019244827321804,-0.6,1,346.0,858.0,1.0,16.0,1,0.3922718486661272
210,210,0.10010942152304914,0.1,0,382.0,522.0,1.0,276.0,0,0.4484560542127888
211,211,0.7872477558680184,0.8,0,277.0,676.0,0.0,157.0,1,0.37664665305913564
212,212,-0.8417063879002467,-0.8,1,484.0,586.0,1.0,380.0,1,0.4674183443155924
213,213,-0.15457504220331275,-0.2,1,265.0,727.0,1.0,168.0,1,0.21046424754790816
214,214,0.7348329708356558,0.7,0,253.0,944.0,0.0,273.0,1,0.23281902258633333
215,215,0.9007671431887068,0.9,0,372.0,565.0,0.0,183.0,1,0.27299054441408727
216,216,-0.17187214650216798,-0.2,1,292.0,613.0,1.0,365.0,1,0.20390728857921148
217,217,0.3288161939013128,0.3,0,458.0,709.0,0.0,303.0,1,0.23304192934632048
218,218,-0.282447297316226,-0.3,1,425.0,756.0,1.0,339.0,1,0.40715982290756825
219,219,0.7827644880375806,0.8,0,458.0,803.0,0.0,289.0,1,0.20362498605256446
220,220,0.3985616191282564,0.4,0,345.0,796.0,0.0,429.0,1,0.35270973433184666
221,221,-0.6595287947131923,-0.7,1,449.0,524.0,1.0,187.0,1,0.3495068382328387
222,222,-0.1856940808622285,-0.2,1,338.0,755.0,1.0,737.0,1,0.4267900554043896
223,223,0.263945960573958,0.3,0,308.0,923.0,0.0,199.0,1,0.2623216807526435
224,224,0.05130748574983057,0.1,0,499.0,685.0,0.0,1926.0,1,0.2898356827026768
225,225,0.49928659379785456,0.5,0,253.0,798.0,0.0,199.0,1,0.25527955161453886
226,226,0.670990549676552,0.7,0,349.0,948.0,0.0,163.0,1,0.28940421438080605
227,227,0.7424807694151685,0.7,0,439.0,561.0,0.0,260.0,1,0.3398060064438735
228,228,0.2550155669116494,0.3,0,319.0,591.0,0.0,1550.0,1,0.46696840135205336
229,229,-0.1564858478079103,-0.2,1,440.0,993.0,1.0,747.0,1,0.37838785708859657
230,230,0.8624954017766449,0.9,0,305.0,734.0,0.0,131.0,1,0.3780567162653711
231,231,-0.6595709401775218,-0.7,1,305.0,704.0,1.0,131.0,1,0.359114365661267
232,232,-0.5891789730729275,-0.6,1,389.0,658.0,1.0,243.0,1,0.29754657213060964
233,233,-0.9590945850224428,-1.0,1,429.0,587.0,1.0,254.0,1,0.3347201888405652
234,234,0.31508314633149404,0.3,0,478.0,760.0,0.0,802.0,1,0.3962772192229095
235,235,-0.8027539258642729,-0.8,1,319.0,698.0,1.0,263.0,1,0.25696506735616337
236,236,-0.629660578870963,-0.6,1,391.0,992.0,1.0,187.0,1,0.38786999637090824
237,237,-0.7781813578240455,-0.8,1,259.0,971.0,1.0,180.0,1,0.4067162396182227
238,238,-0.09420317756437302,-0.1,1,408.0,626.0,1.0,286.0,1,0.20274931662670626
239,239,-0.8431776780094571,-0.8,1,441.0,932.0,1.0,137.0,1,0.4705391521422089
240,240,0.7415374818136338,0.7,0,391.0,824.0,0.0,185.0,1,0.465663028590689
241,241,0.41822956758418717,0.4,0,396.0,960.0,0.0,254.0,1,0.43906259276547954
242,242,0.32456023975144155,0.3,0,417.0,947.0,1.0,116.0,0,0.35904988835346674
243,243,0.045023050761887395,0.0,0,442.0,862.0,1.0,-284.0,0,0.3879130377824828
244,244,0.31011331471879067,0.3,0,383.0,920.0,0.0,127.0,1,0.3183276265656076
245,245,0.5809752573697295,0.6,0,263.0,610.0,0.0,277.0,1,0.3073492810798871
246,246,-0.3871899844182314,-0.4,1,495.0,674.0,1.0,121.0,1,0.3439538269282162
247,247,0.21642571527350563,0.2,0,309.0,932.0,0.0,809.0,1,0.3556684958199092
248,248,0.13344881027621525,0.1,0,410.0,589.0,0.0,251.0,1,0.41111287762122645
249,249,-0.2013380961426452,-0.2,1,416.0,985.0,1.0,-1051.0,1,0.4291500949829668
250,250,0.4793111919431956,0.5,0,455.0,921.0,1.0,-876.0,0,0.4973340983706578
251,251,0.15541250028214204,0.2,0,460.0,796.0,0.0,3744.0,1,0.23706154294524323
